#IDX KIND POS_X POS_Y POS_Z EUL_PSI EUL_THETA EUL_PHI
284 turn -10.5 -5.5 -2.5 0.0 -0.0 1.57079632679
285 turntwist -10.5 -4.5 -2.5 1.57079632679 -0.0 3.14159265359
286 turn -11.5 -4.5 -2.5 1.57079632679 -0.0 -1.57079632679
287 turntwist -11.5 -5.5 -2.5 1.57079632679 -1.57079632679 0
288 turn -11.5 -5.5 -1.5 0.0 -0.0 1.57079632679
289 turntwist -11.5 -4.5 -1.5 -1.57079632679 -0.0 0.0
290 turn -10.5 -4.5 -1.5 -1.57079632679 -0.0 -1.57079632679
291 turntwist -10.5 -5.5 -1.5 1.57079632679 -1.57079632679 0
292 turn -10.5 -5.5 -0.5 0.0 -0.0 1.57079632679
293 turntwist -10.5 -4.5 -0.5 1.57079632679 -0.0 3.14159265359
294 turn -11.5 -4.5 -0.5 1.57079632679 -0.0 -1.57079632679
295 straight -11.5 -5.5 -0.5 1.57079632679 -1.57079632679 0
296 turntwist -11.5 -6.5 -0.5 1.57079632679 1.57079632679 0
297 turn -11.5 -6.5 -1.5 3.14159265359 -0.0 -1.57079632679
298 turn -11.5 -7.5 -1.5 1.57079632679 -1.57079632679 0
299 turntwist -11.5 -7.5 -0.5 0.0 -0.0 0.0
300 turn -10.5 -7.5 -0.5 0.0 1.57079632679 0
301 turntwist -10.5 -7.5 -1.5 3.14159265359 -0.0 1.57079632679
302 turn -10.5 -6.5 -1.5 -1.57079632679 -1.57079632679 0
303 turntwist -10.5 -6.5 -0.5 0.0 -0.0 0.0
304 turn -9.5 -6.5 -0.5 0.0 1.57079632679 0
305 turntwist -9.5 -6.5 -1.5 3.14159265359 -0.0 -1.57079632679
306 turn -9.5 -7.5 -1.5 1.57079632679 -1.57079632679 0
307 turntwist -9.5 -7.5 -0.5 0.0 -0.0 0.0
308 turn -8.5 -7.5 -0.5 0.0 1.57079632679 0
309 turntwist -8.5 -7.5 -1.5 3.14159265359 -0.0 1.57079632679
310 turn -8.5 -6.5 -1.5 -1.57079632679 -1.57079632679 0
311 turn -8.5 -6.5 -0.5 0.0 -0.0 1.57079632679
312 turntwist -8.5 -5.5 -0.5 1.57079632679 -0.0 3.14159265359
313 turntwist -9.5 -5.5 -0.5 3.14159265359 1.57079632679 0
314 turn -9.5 -5.5 -1.5 3.14159265359 -0.0 0.0
315 turntwist -8.5 -5.5 -1.5 1.57079632679 -0.0 1.57079632679
316 turn -8.5 -4.5 -1.5 1.57079632679 -0.0 3.14159265359
317 turntwist -9.5 -4.5 -1.5 0.0 -1.57079632679 0
318 turn -9.5 -4.5 -0.5 0.0 -0.0 0.0
319 turntwist -8.5 -4.5 -0.5 1.57079632679 -0.0 1.57079632679
320 straight -8.5 -3.5 -0.5 -1.57079632679 -1.57079632679 0
321 turn -8.5 -2.5 -0.5 1.57079632679 -0.0 3.14159265359
322 turn -9.5 -2.5 -0.5 1.57079632679 -0.0 -1.57079632679
323 turntwist -9.5 -3.5 -0.5 1.57079632679 1.57079632679 0
324 turn -9.5 -3.5 -1.5 3.14159265359 -0.0 1.57079632679
325 turntwist -9.5 -2.5 -1.5 -1.57079632679 -0.0 0.0
326 turn -8.5 -2.5 -1.5 -1.57079632679 -0.0 -1.57079632679
327 turntwist -8.5 -3.5 -1.5 1.57079632679 1.57079632679 0
328 turntwist -8.5 -3.5 -2.5 3.14159265359 -0.0 3.14159265359
329 turn -9.5 -3.5 -2.5 3.14159265359 1.57079632679 0
330 turn -9.5 -3.5 -3.5 3.14159265359 -0.0 0.0
331 turntwist -8.5 -3.5 -3.5 1.57079632679 -0.0 1.57079632679
332 turn -8.5 -2.5 -3.5 1.57079632679 -0.0 3.14159265359
333 turntwist -9.5 -2.5 -3.5 0.0 -1.57079632679 0
334 turn -9.5 -2.5 -2.5 0.0 -0.0 0.0
335 turntwist -8.5 -2.5 -2.5 1.57079632679 -0.0 1.57079632679
